"1ac13ccce9fc4a66bda9b79406227128","230519100042","2023/5/8 00:00:00","2229","南库区新4号仓","20230314-2229-1114-15110","1","2,3","21221","3,4,2,4,6|5,3,4,5,2","531","无","90","辛莹","2023/5/19 17:19:32","1","系统超级管理员","2024/5/31 14:06:05","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:05"
"cc39d95e7dae41938c0146890cd6cc4a","230519100043","2023/5/8 00:00:00","2242","南库区老2号仓","20230313-2242-1114-15107","1","5,8","21221","5,4,2,4,6|5,3,4,5,0","531","无","90","辛莹","2023/5/19 17:20:41","1","系统超级管理员","2024/5/31 14:06:36","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:36"
"9b6e135f6bb342f3a005b26eb132f453","230519100044","2023/5/8 00:00:00","2233","南库区新8号仓","20230314-2233-1114-15121","1","5,9","21221","3,2,2,4,6|5,3,4,5,8","531","无","90","辛莹","2023/5/19 17:21:32","1","系统超级管理员","2024/5/31 14:06:36","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:36"
"d12d8c888fb84ad682b9a4d6df2e35ba","230519100045","2023/5/8 00:00:00","2243","南库区老4号仓","20230314-2243-1114-15130","1","5,4","21221","3,4,2,4,6|5,3,4,5,2","531","无","1233","刘斌","2023/5/19 17:23:11","1","系统超级管理员","2024/5/31 14:06:36","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:06:36"
"0890e42d0f9a4a9db6ab88d46045826b","230519100046","2023/5/8 00:00:00","2246","南库区老10号仓","20230314-2246-1114-15133","1","4,8","21221","1,4,2,4,6|5,3,4,5,0","531","无","1233","刘斌","2023/5/19 17:23:49","1","系统超级管理员","2024/5/31 14:06:36","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:06:36"
"c0401cef31614bb7bf9172d54da47ae8","230519100047","2023/5/8 00:00:00","2226","南库区新1号仓","20230313-2226-1114-15106","1","1,5","21221","4,4,2,2,6|2,3,4,5,0","531","无","91","张宝侠","2023/5/19 20:04:00","1","系统超级管理员","2024/5/31 14:06:36","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:36"
"9d142505471342749eaaad51c909915f","230519100048","2023/5/8 00:00:00","2247","南库区老11号仓","20230314-2247-1114-15134","1","5,5","21221","2,3,2,4,6|5,3,4,5,1","531","无","91","张宝侠","2023/5/19 20:04:52","1","系统超级管理员","2024/5/31 14:06:37","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:36"
"6d41903be5bf4c3eabd8ca6eb42d96fb","230519100049","2023/5/8 00:00:00","2248","南库区老12号仓","20230314-2248-1114-15135","1","3,8","21221","4,4,3,4,9|5,3,4,5,4","531","无","91","张宝侠","2023/5/19 20:05:40","1","系统超级管理员","2024/5/31 14:06:37","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:37"
"dbd39591a8e841c5a3f45bbdc21041ae","230519100050","2023/5/8 00:00:00","2227","南库区新2号仓","20230314-2227-1114-15109","1","9,11","21221","3,4,2,4,6|5,3,4,5,2","531","无","96","韩嘉鑫","2023/5/19 20:07:37","1","系统超级管理员","2024/5/31 14:06:37","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:37"
"9913df6d769243c2a863979049aa9c03","230519100051","2023/5/8 00:00:00","2231","南库区新6号仓","20230314-2231-1114-15114","1","7,9","21221","5,4,2,4,6|5,3,4,5,9","531","无","96","韩嘉鑫","2023/5/19 20:09:02","1","系统超级管理员","2024/5/31 14:06:37","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:37"
"eeb6d506082043df8a6664889f9f3041","230519100052","2023/5/8 00:00:00","2244","南库区老6号仓","20230314-2244-1114-15131","1","4,9","21221","3,4,2,4,6|5,3,4,5,8","531","无","96","韩嘉鑫","2023/5/19 20:09:51","1","系统超级管理员","2024/5/31 14:06:37","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:37"
"b6a3cc9d2d2747f299c752c2fa5e984e","230519100053","2023/5/8 00:00:00","2228","南库区新3号仓","20230314-2228-1114-15108","1","7,7","21221","1,4,2,4,6|5,3,4,7,7","531","无","98","刘萍（小）","2023/5/19 20:12:58","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:47"
"177812d1d04e4f01ac611e3894b78bde","230519100054","2023/5/8 00:00:00","2555","南库区新9号仓","20230314-2555-1114-15122","1","8,13","21221","3,4,2,4,6|5,3,4,5,2","531","无","98","刘萍（小）","2023/5/19 20:13:41","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:47"
"6309ede50cb04d41906ecd957d82b13e","230519100055","2023/5/8 00:00:00","2230","南库区新5号仓","20230314-2230-1114-15111","1","5,8","21221","4,4,2,4,6|5,3,4,5,5","531","无","98","刘萍（小）","2023/5/19 20:14:37","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:47"
"7b53708e18c04e799132095e09f3e27e","230519100056","2023/5/8 00:00:00","2238","南库区新13号仓","20230314-2238-1114-15126","1","4,4","21221","5,5,6,4,6|5,3,4,5,7","531","无","92","付祥","2023/5/19 20:16:39","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:47"
"4eb072cbdc074ebc9a5b32aca120cf6b","230519100057","2023/5/8 00:00:00","2239","南库区新14号仓","20230314-2239-1114-15127","1","7,9","21221","3,4,2,4,6|5,3,4,5,2","531","无","92","付祥","2023/5/19 20:17:08","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:47"
"366164a9b1b84e0db0dc17650108d17c","230519100058","2023/5/8 00:00:00","2240","南库区新15号仓","20230314-2240-1114-15128","1","5,9","21221","8,8,2,4,9|5,3,4,5,8","531","无","92","付祥","2023/5/19 20:17:49","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:47"
"eacb6f1d59bb4e509c861ac17f45dfe0","230519100059","2023/5/8 00:00:00","2232","南库区新7号仓","20230314-2232-1114-15120","1","7,11","21221","3,4,2,4,6|5,3,4,5,2","531","无","94","郭君","2023/5/19 20:19:09","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:47"
"d4fe55bdc7994f84b25d1eea6b397881","230519100060","2023/5/8 00:00:00","2235","南库区新10号仓","20230314-2235-1114-15123","1","8,9","21221","3,4,2,4,6|5,3,4,5,2","531","无","94","郭君","2023/5/19 20:19:54","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:47"
"0e250207055e4eccbc30006e4515a075","230519100061","2023/5/8 00:00:00","2236","南库区新11号仓","20230314-2236-1114-15124","1","8,8","21221","7,4,4,4,8|7,9,9,5,8","531","无","94","郭君","2023/5/19 20:20:48","1","系统超级管理员","2024/5/31 14:06:47","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:47"
"5850b1b8051744f6849187fe8daa882e","230519100062","2023/5/8 00:00:00","2241","南库区新16号仓","20230314-2241-1114-15129","1","5,5","21221","4,4,2,4,4|5,5,4,5,5","531","无","97","崔熙林","2023/5/19 20:23:17","1","系统超级管理员","2024/5/31 14:06:48","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:06:48"
"4cf782c982cc41e9a1658f698bef0ded","230519100063","2023/5/8 00:00:00","2245","南库区老8号仓","20230314-2245-1114-15132","1","7,9","21221","2,4,2,6,6|4,4,4,5,2","531","无","97","崔熙林","2023/5/19 20:24:15","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:06:53"
"7f5c05cc8d4644aab1e450e72a416bf7","230519100064","2023/5/8 00:00:00","2232","南库区新7号仓","20230314-2232-1114-15120","1","4,6","21221","2,4,2,4,4|5,3,4,5,5","531","无","97","崔熙林","2023/5/19 20:25:01","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:06:53"
"ca24eaeb884349568df8baf4fe4970cb","230520100065","2023/5/15 00:00:00","2226","南库区新1号仓","20230313-2226-1114-15106","1","5,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/20 16:36:29","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:53"
"544958da7eba4367838c472450a5474f","230520100066","2023/5/15 00:00:00","2247","南库区老11号仓","20230314-2247-1114-15134","1","7,9","21221","1,4,2,3,6|5,4,4,5,5","531","无","91","张宝侠","2023/5/20 16:37:29","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:53"
"9175ee096da54eccb2af30e5809ad013","230520100067","2023/5/15 00:00:00","2248","南库区老12号仓","20230314-2248-1114-15135","1","3,6,9","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/20 16:38:09","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:06:53"
"09eb9c15d78f4116ad10e75d9b3bbbe2","230520100068","2023/5/15 00:00:00","2227","南库区新2号仓","20230314-2227-1114-15109","1","7,8,11","21221","3,3,2,5,6|4,3,4,5,6","531","无","96","韩嘉鑫","2023/5/20 16:39:45","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:53"
"27249cc7b44248ac9655e4768c221ad9","230520100069","2023/5/15 00:00:00","2231","南库区新6号仓","20230314-2231-1114-15114","1","4,5,12","21221","3,4,2,4,6|5,4,4,5,5","531","无","96","韩嘉鑫","2023/5/20 16:40:28","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:53"
"8afad6dd1c374c8db711eacac923b176","230520100070","2023/5/15 00:00:00","2244","南库区老6号仓","20230314-2244-1114-15131","1","4,5,9,11","21221","3,4,2,4,6|5,3,4,5,4","531","无","96","韩嘉鑫","2023/5/20 16:41:10","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","a0ee77e91c104d0ca8d3ce878b9b9b9c","0","d","2024/5/31 14:06:53"
"685734c58ce44d0fbecf9c055264beb7","230520100071","2023/5/15 00:00:00","2228","南库区新3号仓","20230314-2228-1114-15108","1","3,5,7","21221","3,5,2,4,6|5,3,4,6,8","531","无","98","刘萍（小）","2023/5/20 16:42:53","1","系统超级管理员","2024/5/31 14:06:53","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:53"
"fa0268817d1749ffb0d02052094a3467","230520100072","2023/5/15 00:00:00","2230","南库区新5号仓","20230314-2230-1114-15111","1","4,5,8,10","21221","3,4,2,4,6|5,3,4,5,5","531","无","98","刘萍（小）","2023/5/20 16:43:40","1","系统超级管理员","2024/5/31 14:06:54","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:54"
"d872b46b522f4c6a94f605b21cc13d8d","230520100073","2023/5/15 00:00:00","2555","南库区新9号仓","20230314-2555-1114-15122","1","5,8","21221","2,4,2,4,8|5,3,4,5,7","531","无","98","刘萍（小）","2023/5/20 16:44:24","1","系统超级管理员","2024/5/31 14:06:57","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","22d81a22cb58415da3ad240b2f970dad","0","d","2024/5/31 14:06:57"
"faf89dbd526845788c9a97f3d99a0e96","230520100074","2023/5/15 00:00:00","2229","南库区新4号仓","20230314-2229-1114-15110","1","4,9","21221","2,4,2,4,6|5,3,4,5,7","531","无","90","辛莹","2023/5/20 16:45:47","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:58"
"2a92598eaea54d4f8d88be7fa55e812f","230520100075","2023/5/15 00:00:00","2233","南库区新8号仓","20230314-2233-1114-15121","1","3,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","90","辛莹","2023/5/20 16:46:17","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:58"
"a9d977ebff6c47f4b4ef7c27472b12e4","230520100076","2023/5/15 00:00:00","2242","南库区老2号仓","20230313-2242-1114-15107","1","2,5,8","21221","3,4,2,2,6|6,3,4,5,7","531","无","90","辛莹","2023/5/20 16:46:56","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","6cc0722f8c6e49a295b67368ed5460d0","0","d","2024/5/31 14:06:58"
"7069fb44f9b34914bb91d48d190434d8","230520100077","2023/5/15 00:00:00","2238","南库区新13号仓","20230314-2238-1114-15126","1","3,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","92","付祥","2023/5/20 16:48:20","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:58"
"fbcfd823746b46108194a894be5c8ae1","230520100078","2023/5/15 00:00:00","2239","南库区新14号仓","20230314-2239-1114-15127","1","2,5,7","21221","2,4,2,4,6|5,3,4,6,3","531","无","92","付祥","2023/5/20 16:49:08","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:58"
"03f3dc7409a048c6aa466cddd6adf323","230520100079","2023/5/15 00:00:00","2240","南库区新15号仓","20230314-2240-1114-15128","1","2,4,6","21221","1,4,2,4,5|5,3,1,4,6","531","无","92","付祥","2023/5/20 16:49:53","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","abf32cb53d9b4b8f9ce1e2d07c8bc005","0","d","2024/5/31 14:06:58"
"18c60d31ff074461bcb01abe675a1637","230520100080","2023/5/15 00:00:00","2235","南库区新10号仓","20230314-2235-1114-15123","1","3,5,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","94","郭君","2023/5/20 16:52:13","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:58"
"c8079199bb00400ab272ab1de6172460","230520100081","2023/5/15 00:00:00","2236","南库区新11号仓","20230314-2236-1114-15124","1","2,3,4,5,6","21221","2,4,2,4,6|5,3,4,5,4","531","无","94","郭君","2023/5/20 16:52:48","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:58"
"3f7136ecd1a44a7bad21353d60b9a5b5","230520100082","2023/5/15 00:00:00","2237","南库区新12号仓","20230314-2237-1114-15125","1","2,5","21221","3,4,2,4,6|5,3,4,5,2","531","无","94","郭君","2023/5/20 16:53:13","1","系统超级管理员","2024/5/31 14:06:58","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","d518b8cac9b64f4b9d8e418e3373eeef","0","d","2024/5/31 14:06:58"
"f701aa9af6c548a091f940993304542b","230520100083","2023/5/15 00:00:00","2232","南库区新7号仓","20230314-2232-1114-15120","1","3,4,5","21221","3,4,2,4,6|5,3,4,5,2","531","无","97","崔熙林","2023/5/20 16:54:30","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:07:08"
"a7e76961c7734848854ab50f66e8676f","230520100084","2023/5/15 00:00:00","2241","南库区新16号仓","20230314-2241-1114-15129","1","2,6","21221","2,3,2,3,6|5,3,4,5,7","531","无","97","崔熙林","2023/5/20 16:55:12","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:07:08"
"58e806bd7313496f80ac1d02e3a4e2a2","230520100085","2023/5/15 00:00:00","2245","南库区老8号仓","20230314-2245-1114-15132","1","9,10","21221","3,4,2,4,6|5,3,4,5,2","531","无","97","崔熙林","2023/5/20 16:55:43","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","b916b73b8ad946fcaec4d3526010b4d9","0","d","2024/5/31 14:07:08"
"f7b4869ee6ef4737af1e6563fefc440f","230520100086","2023/5/15 00:00:00","2243","南库区老4号仓","20230314-2243-1114-15130","1","3,4,5,6","21221","3,4,2,4,6|5,3,4,5,6","531","无","1233","刘斌","2023/5/20 16:57:03","1","系统超级管理员","2024/5/31 14:07:08","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:07:08"
"a61f1ce62d834f81b72fcc274c44978a","230520100087","2023/5/15 00:00:00","2246","南库区老10号仓","20230314-2246-1114-15133","1","2,3,4","21221","3,4,2,4,6|5,3,4,5,2","531","无","1233","刘斌","2023/5/20 16:57:34","1","系统超级管理员","2024/5/31 14:07:08","122","陕西省储备粮扶风直属库有限公司","100101006","陕西省储备粮扶风直属库有限公司","146a328c2f1942d2999f974cc8a26281","0","d","2024/5/31 14:07:08"
"f1f14cd25f3a4082a3bd78e07df3235a","230522100091","2023/4/3 00:00:00","2249","北库区15号仓","20230314-2249-1114-15136","1","5,6,7","21211","3,4,2,4,8|5,3,4,5,2","532","无","114","王博","2023/5/22 08:47:18","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"d9a64465235e4f2489b961ba349c56c0","230522100092","2023/4/3 00:00:00","2250","北库区16号仓","20230314-2250-1114-15137","1","7,8,9","21211","2,4,4,7,8|5,3,4,5,2","532","无","114","王博","2023/5/22 08:53:15","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"be38581a95534f499c37132e1e4376b8","230522100093","2023/4/14 00:00:00","2253","北库区19号仓","20230314-2253-1114-15138","1","7,8","21211","3,4,2,4,6|5,3,4,5,2","532","无","114","王博","2023/5/22 09:00:54","114","王博","2023/11/14 13:53:37","163","陕西省储备粮扶风直属库有限公司北库区","100101006001","陕西省储备粮扶风直属库有限公司北库区","03f1ac6b4ed64b47a46e036edc2daed9","3","n",""
"e0238a56649a49108cea5a2e0198c99e","230522100094","2023/5/22 00:00:00","2226","南库区新1号仓","20230313-2226-1114-15106","1","4,6","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/22 09:27:20","1","系统超级管理员","2024/5/31 14:07:08","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:08"
"b171e3c2aea84eb8adc684125b2118ac","230522100095","2023/5/22 00:00:00","2247","南库区老11号仓","20230314-2247-1114-15134","1","3,5,7","21221","3,4,2,4,6|5,3,4,5,2","531","无","91","张宝侠","2023/5/22 09:29:12","1","系统超级管理员","2024/5/31 14:07:09","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:09"
"4d43062cc8e04f939ce472dd5ea17597","230522100096","2023/5/22 00:00:00","2248","南库区老12号仓","20230314-2248-1114-15135","1","2,5,7","21221","3,4,2,4,6|5,3,4,5,3","531","无","91","张宝侠","2023/5/22 09:29:53","1","系统超级管理员","2024/5/31 14:07:09","161","仓储管理科","100101006","陕西省储备粮扶风直属库有限公司","bf8c845fadfb431ba0c18ddb354b7831","0","d","2024/5/31 14:07:09"
